working_hours,task_count,break_time,weekend_work,email_activity,sleep_hours,burnout_risk
12,16,63,0,238,4,High
9,12,44,1,282,6,Medium
10,7,89,1,196,7,Medium
12,5,70,0,125,5,High
8,7,50,0,58,7,Low
10,9,42,0,248,7,Medium
10,19,77,1,77,8,Medium
12,18,42,1,255,5,High
7,7,23,1,272,7,Low
8,5,30,1,177,7,Low
12,9,57,0,101,5,High
8,18,29,1,132,5,Medium
8,11,17,1,299,7,Low
10,13,16,1,160,5,Medium
9,19,76,1,193,7,Medium
8,19,26,1,166,7,Medium
11,14,42,0,118,8,Medium
10,17,57,0,148,4,Medium
7,23,85,1,189,7,Medium
9,11,68,0,74,6,Medium
11,21,31,1,229,4,High
11,24,39,1,172,4,High
7,8,47,0,262,4,Low
9,9,60,0,277,8,Medium
10,11,63,1,102,7,Medium
6,17,17,1,200,8,Medium
9,19,36,1,193,7,Medium
7,15,36,0,106,8,Low
11,8,30,1,88,8,Medium
10,17,39,1,158,6,Medium
9,11,37,1,230,8,Medium
6,23,73,0,91,5,Medium
6,6,78,1,235,6,Low
8,14,70,1,216,8,Low
8,17,57,0,191,4,Medium
12,10,28,1,272,5,High
7,16,13,1,171,5,Medium
9,16,44,0,182,5,Medium
9,24,73,1,212,6,Medium
12,15,58,0,264,8,Medium
11,11,26,0,270,8,Medium
11,5,53,1,284,4,High
12,5,39,1,124,4,High
11,24,55,1,195,5,High
8,17,15,1,288,4,Medium
9,13,46,0,125,6,Medium
12,7,33,1,58,8,Medium
9,11,55,0,123,5,Medium
6,10,62,1,235,4,Low
8,12,69,1,285,6,Low
10,13,72,1,194,6,Medium
8,9,41,0,279,4,Low
12,5,42,1,56,8,Medium
10,23,76,1,223,4,Medium
6,14,27,1,190,5,Low
12,16,34,1,217,4,High
7,19,63,0,219,6,Medium
9,13,67,1,186,4,Medium
6,24,76,0,227,8,Medium
9,21,55,0,76,7,Medium
11,21,33,0,171,4,High
7,24,41,0,243,8,Medium
7,16,56,0,54,8,Medium
6,11,32,0,78,6,Low
7,6,75,1,214,8,Low
10,7,36,0,215,8,Medium
7,21,11,0,132,8,Medium
9,9,26,0,185,8,Medium
9,21,42,1,289,5,Medium
12,21,18,1,158,5,High
9,21,52,0,114,6,Medium
12,6,57,1,135,4,High
9,6,48,0,293,8,Medium
10,9,51,0,194,4,Medium
12,5,35,1,120,4,High
8,5,59,0,266,6,Low
11,23,34,1,94,8,Medium
6,6,33,1,181,8,Low
9,16,22,0,85,7,Medium
7,10,69,0,119,4,Low
9,8,16,1,208,4,Medium
7,15,66,0,68,5,Low
11,21,45,0,238,7,Medium
11,10,54,0,157,5,High
11,9,29,1,231,5,High
7,24,74,1,216,5,Medium
9,6,17,0,140,6,Medium
11,10,25,1,251,6,Medium
10,15,23,1,139,5,Medium
12,20,85,1,68,7,Medium
7,20,24,1,88,4,Medium
7,5,75,1,175,7,Low
9,13,41,0,244,8,Medium
7,10,72,0,222,6,Low
7,20,60,0,190,4,Medium
11,7,34,1,291,4,High
9,24,67,1,269,8,Medium
11,8,72,0,175,8,Medium
12,23,71,1,107,5,High
12,7,31,0,197,6,Medium
11,23,67,0,269,6,Medium
12,24,67,0,249,7,Medium
9,11,58,1,110,5,Medium
6,24,61,1,176,5,Medium
11,13,51,0,154,5,High
10,5,79,0,216,5,Medium
10,12,24,0,50,6,Medium
7,11,63,0,180,6,Low
12,22,69,1,254,5,High
10,12,17,1,141,7,Medium
7,5,62,0,239,4,Low
6,15,69,0,298,4,Low
9,22,14,1,240,7,Medium
9,14,77,1,162,5,Medium
9,7,15,0,202,6,Medium
10,11,56,0,105,4,Medium
6,20,64,0,210,8,Medium
10,20,49,1,215,8,Medium
12,24,61,1,166,7,Medium
10,21,25,1,183,5,Medium
6,6,22,0,107,4,Low
6,5,39,0,93,5,Low
12,20,28,1,222,4,High
6,16,26,1,209,7,Medium
6,9,72,0,222,7,Low
9,9,28,1,110,8,Medium
12,13,67,1,96,5,High
8,13,64,0,198,8,Low
8,7,71,1,129,5,Low
6,23,32,0,167,8,Medium
8,20,18,0,262,6,Medium
8,20,21,0,252,6,Medium
6,7,10,0,278,6,Low
8,24,67,0,213,6,Medium
10,5,10,0,276,4,Medium
7,24,43,0,196,6,Medium
12,15,57,1,69,7,Medium
7,21,10,0,234,7,Medium
6,12,25,0,195,4,Low
9,8,70,1,96,6,Medium
12,10,73,1,282,6,Medium
6,12,72,1,98,6,Low
9,24,78,0,63,8,Medium
7,7,31,1,192,5,Low
6,20,76,0,208,8,Medium
12,7,85,0,50,5,High
12,22,35,0,166,6,Medium
11,18,25,0,103,6,Medium
10,22,60,1,167,8,Medium
8,6,66,1,52,8,Low
